loan_reference,borrower_nrc,loan_product_name,amount,custom_interest_rate,application_date,loan_purpose,branch_name,loan_status,approval_date,amount_type,monthly_amount
JUTEM-00001,1000001/00/1,Business Micro Loan,12000,45.0,2023-10-01,Business,Lusaka,6,2023-10-01,,4000
JUTEM-00002,1000001/00/1,Business Micro Loan,5000,25.0,2024-01-01,Business,Lusaka,6,2024-01-01,,5000
JUTEM-00003,1000002/00/1,Business Micro Loan,33000,22.0,2022-04-01,Business,Lusaka,6,2022-04-01,,5500
JUTEM-00004,1000002/00/1,Business Micro Loan,8000,22.0,2022-06-01,Business,Lusaka,6,2022-06-01,,4000
JUTEM-00005,1000002/00/1,Business Micro Loan,3000,25.0,2022-06-01,Business,Lusaka,6,2022-06-01,,3000
JUTEM-00006,1000002/00/1,Business Micro Loan,4000,25.0,2022-07-01,Business,Lusaka,6,2022-07-01,,4000
JUTEM-00007,1000002/00/1,Business Micro Loan,4000,25.0,2022-08-01,Business,Lusaka,6,2022-08-01,,4000
JUTEM-00008,1000002/00/1,Business Micro Loan,20000,25.0,2022-10-01,Business,Lusaka,6,2022-10-01,,5000
JUTEM-00009,1000002/00/1,Business Micro Loan,4500,25.0,2023-01-01,Business,Lusaka,6,2023-01-01,,4500
JUTEM-00010,1000002/00/1,Business Micro Loan,7000,22.0,2023-07-01,Business,Lusaka,6,2023-07-01,,7000
JUTEM-00011,1000002/00/1,Business Micro Loan,14000,22.0,2023-08-01,Business,Lusaka,6,2023-08-01,,7000
JUTEM-00012,1000002/00/1,Business Micro Loan,28000,20.0,2023-11-01,Business,Lusaka,6,2023-11-01,,7000
JUTEM-00013,1000002/00/1,Business Micro Loan,2000,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,2000
JUTEM-00014,1000002/00/1,Business Micro Loan,1000,25.0,2024-05-01,Business,Lusaka,6,2024-05-01,,1000
JUTEM-00015,1000002/00/1,Business Micro Loan,1200,25.0,2024-06-01,Business,Lusaka,6,2024-06-01,,1200
JUTEM-00016,1000002/00/1,Business Micro Loan,3000,23.0,2024-08-01,Business,Lusaka,6,2024-08-01,,3000
JUTEM-00017,1000002/00/1,Business Micro Loan,2300,25.0,2024-09-01,Business,Lusaka,6,2024-09-01,,2300
JUTEM-00018,1000002/00/1,Business Micro Loan,1000,25.0,2024-09-01,Business,Lusaka,6,2024-09-01,,1000
JUTEM-00019,1000002/00/1,Business Micro Loan,2000,25.0,2024-11-01,Business,Lusaka,6,2024-11-01,,2000
JUTEM-00020,1000003/00/1,Business Micro Loan,1500,25.0,2024-12-01,Business,Lusaka,6,2024-12-01,,1500
JUTEM-00021,1000003/00/1,Business Micro Loan,4000,32.0,2025-02-01,Business,Lusaka,6,2025-02-01,,2000
JUTEM-00022,1000003/00/1,Business Micro Loan,5000.01,36.0,2025-07-01,Business,Lusaka,6,2025-07-01,,1666.67
JUTEM-00023,1000004/00/1,Business Micro Loan,75000,19.0,2024-12-01,Business,Lusaka,6,2024-12-01,,75000
JUTEM-00024,1000005/00/1,Business Micro Loan,250000,40.0,2025-12-01,Business,Lusaka,5,2025-12-01,,62500
JUTEM-00025,1000006/00/1,Business Micro Loan,224000,20.21,2024-06-01,Business,Lusaka,6,2024-06-01,,224000
JUTEM-00026,1000006/00/1,Business Micro Loan,224400,19.79,2024-08-01,Business,Lusaka,6,2024-08-01,,224400
JUTEM-00027,1000007/00/1,Business Micro Loan,220000,22.0,2024-05-01,Business,Lusaka,6,2024-05-01,,220000
JUTEM-00028,1000007/00/1,Business Micro Loan,268800,11.61,2024-11-01,Business,Lusaka,6,2024-11-01,,268800
JUTEM-00029,1000007/00/1,Business Micro Loan,141000,15.0,2025-03-01,Business,Lusaka,6,2025-03-01,,141000
JUTEM-00030,1000007/00/1,Business Micro Loan,100000,20.0,2025-10-01,Business,Lusaka,6,2025-10-01,,100000
JUTEM-00031,1000008/00/1,Business Micro Loan,120000,20.0,2024-09-01,Business,Lusaka,6,2024-09-01,,120000
JUTEM-00032,1000009/00/1,Business Micro Loan,30000,10.0,2024-10-01,Business,Lusaka,6,2024-10-01,,30000
JUTEM-00033,1000009/00/1,Business Micro Loan,25000,20.0,2024-11-01,Business,Lusaka,6,2024-11-01,,25000
JUTEM-00034,1000009/00/1,Business Micro Loan,20000,25.0,2025-01-01,Business,Lusaka,6,2025-01-01,,20000
JUTEM-00035,1000009/00/1,Business Micro Loan,50000,20.0,2025-04-01,Business,Lusaka,6,2025-04-01,,50000
JUTEM-00036,1000009/00/1,Business Micro Loan,200000,19.0,2025-05-01,Business,Lusaka,6,2025-05-01,,200000
JUTEM-00037,1000009/00/1,Business Micro Loan,60000,19.0,2025-06-01,Business,Lusaka,6,2025-06-01,,60000
JUTEM-00038,1000009/00/1,Business Micro Loan,50000,15.0,2025-06-01,Business,Lusaka,6,2025-06-01,,50000
JUTEM-00039,1000009/00/1,Business Micro Loan,20000,15.0,2025-07-01,Business,Lusaka,6,2025-07-01,,20000
JUTEM-00040,1000009/00/1,Business Micro Loan,148000,16.0,2025-08-01,Business,Lusaka,6,2025-08-01,,148000
JUTEM-00041,1000009/00/1,Business Micro Loan,170000,27.0,2025-09-01,Business,Lusaka,6,2025-09-01,,170000
JUTEM-00042,1000009/00/1,Business Micro Loan,140000,20.0,2025-11-01,Business,Lusaka,6,2025-11-01,,140000
JUTEM-00043,1000009/00/1,Business Micro Loan,50000,19.0,2026-02-01,Business,Lusaka,5,2026-02-01,,50000
JUTEM-00044,1000010/00/1,Business Micro Loan,5000,20.0,2021-07-01,Business,Lusaka,6,2021-07-01,,5000
JUTEM-00045,1000010/00/1,Business Micro Loan,1500,15.0,2021-09-01,Business,Lusaka,6,2021-09-01,,1500
JUTEM-00046,1000010/00/1,Business Micro Loan,1000,12.0,2021-10-01,Business,Lusaka,6,2021-10-01,,1000
JUTEM-00047,1000010/00/1,Business Micro Loan,500,25.0,2021-12-01,Business,Lusaka,6,2021-12-01,,500
JUTEM-00048,1000010/00/1,Business Micro Loan,3500,20.0,2022-03-01,Business,Lusaka,6,2022-03-01,,3500
JUTEM-00049,1000011/00/1,Business Micro Loan,3000,25.0,2022-09-01,Business,Lusaka,6,2022-09-01,,3000
JUTEM-00050,1000011/00/1,Business Micro Loan,3420,25.0,2022-11-01,Business,Lusaka,6,2022-11-01,,3420
JUTEM-00051,1000012/00/1,Business Micro Loan,2000,25.0,2021-11-01,Business,Lusaka,6,2021-11-01,,2000
JUTEM-00052,1000012/00/1,Business Micro Loan,5000,21.0,2021-12-01,Business,Lusaka,6,2021-12-01,,5000
JUTEM-00053,1000012/00/1,Business Micro Loan,5000,21.0,2022-02-01,Business,Lusaka,6,2022-02-01,,5000
JUTEM-00054,1000012/00/1,Business Micro Loan,1200,15.0,2022-03-01,Business,Lusaka,6,2022-03-01,,1200
JUTEM-00055,1000012/00/1,Business Micro Loan,3200,22.0,2022-04-01,Business,Lusaka,6,2022-04-01,,3200
JUTEM-00056,1000012/00/1,Business Micro Loan,5000,35.0,2022-05-01,Business,Lusaka,6,2022-05-01,,2500
JUTEM-00057,1000012/00/1,Business Micro Loan,7400,35.0,2022-06-01,Business,Lusaka,6,2022-06-01,,3700
JUTEM-00058,1000013/00/1,Business Micro Loan,1500,20.0,2021-07-01,Business,Lusaka,6,2021-07-01,,1500
JUTEM-00059,1000013/00/1,Business Micro Loan,2500,25.0,2021-08-01,Business,Lusaka,6,2021-08-01,,2500
JUTEM-00060,1000013/00/1,Business Micro Loan,3000,25.0,2021-09-01,Business,Lusaka,6,2021-09-01,,3000
JUTEM-00061,1000013/00/1,Business Micro Loan,3600,25.0,2021-10-01,Business,Lusaka,6,2021-10-01,,3600
JUTEM-00062,1000014/00/1,Business Micro Loan,250000,14.0,2025-09-01,Business,Lusaka,6,2025-09-01,,250000
JUTEM-00063,1000014/00/1,Business Micro Loan,550000,18.0,2025-12-01,Business,Lusaka,6,2025-12-01,,550000
JUTEM-00064,1000014/00/1,Business Micro Loan,600000,12.0,2025-12-01,Business,Lusaka,5,2025-12-01,,600000
JUTEM-00065,1000015/00/1,Business Micro Loan,1000,20.0,2021-07-01,Business,Lusaka,6,2021-07-01,,1000
JUTEM-00066,1000016/00/1,Business Micro Loan,7000,25.0,2021-12-01,Business,Lusaka,6,2021-12-01,,7000
JUTEM-00067,1000017/00/1,Business Micro Loan,3000,15.0,2025-08-01,Business,Lusaka,6,2025-08-01,,3000
JUTEM-00068,1000018/00/1,Business Micro Loan,7000,17.0,2023-11-01,Business,Lusaka,6,2023-11-01,,3500
JUTEM-00069,1000018/00/1,Business Micro Loan,5500,20.0,2024-01-01,Business,Lusaka,6,2024-01-01,,5500
JUTEM-00070,1000018/00/1,Business Micro Loan,9000,20.0,2024-02-01,Business,Lusaka,6,2024-02-01,,3000
JUTEM-00071,1000018/00/1,Business Micro Loan,1500,15.0,2024-05-01,Business,Lusaka,6,2024-05-01,,1500
JUTEM-00072,1000018/00/1,Business Micro Loan,4000,20.0,2024-06-01,Business,Lusaka,6,2024-06-01,,2000
JUTEM-00073,1000018/00/1,Business Micro Loan,2500,20.0,2024-08-01,Business,Lusaka,6,2024-08-01,,2500
JUTEM-00074,1000018/00/1,Business Micro Loan,4000,20.0,2024-12-01,Business,Lusaka,6,2024-12-01,,4000
JUTEM-00075,1000018/00/1,Business Micro Loan,4725,5.82,2025-01-01,Business,Lusaka,6,2025-01-01,,4725
JUTEM-00076,1000018/00/1,Business Micro Loan,3800,18.0,2025-02-01,Business,Lusaka,6,2025-02-01,,3800
JUTEM-00077,1000019/00/1,Business Micro Loan,10000,32.0,2026-02-01,Business,Lusaka,5,2026-02-01,,5000
JUTEM-00078,1000020/00/1,Business Micro Loan,3000,20.0,2024-10-01,Business,Lusaka,6,2024-10-01,,3000
JUTEM-00079,1000020/00/1,Business Micro Loan,2500,20.0,2024-11-01,Business,Lusaka,6,2024-11-01,,2500
JUTEM-00080,1000021/00/1,Business Micro Loan,1000000,25.0,2023-11-01,Business,Lusaka,6,2023-11-01,,500000
JUTEM-00081,1000021/00/1,Business Micro Loan,60000,25.0,2023-11-01,Business,Lusaka,6,2023-11-01,,60000
JUTEM-00082,1000021/00/1,Business Micro Loan,60000,25.0,2023-12-01,Business,Lusaka,6,2023-12-01,,60000
JUTEM-00083,1000021/00/1,Business Micro Loan,1000000,30.0,2024-01-01,Business,Lusaka,6,2024-01-01,,1000000
JUTEM-00084,1000021/00/1,Business Micro Loan,20000,18.0,2024-01-01,Business,Lusaka,6,2024-01-01,,20000
JUTEM-00085,1000021/00/1,Business Micro Loan,600000,23.13,2024-02-01,Business,Lusaka,6,2024-02-01,,600000
JUTEM-00086,1000021/00/1,Business Micro Loan,140000,22.0,2024-02-01,Business,Lusaka,6,2024-02-01,,70000
JUTEM-00087,1000021/00/1,Business Micro Loan,1617600,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,1617600
JUTEM-00088,1000021/00/1,Business Micro Loan,300000,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,300000
JUTEM-00089,1000021/00/1,Business Micro Loan,50000,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,50000
JUTEM-00090,1000021/00/1,Business Micro Loan,150000,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,150000
JUTEM-00091,1000021/00/1,Business Micro Loan,15000,20.0,2024-03-01,Business,Lusaka,6,2024-03-01,,15000
JUTEM-00092,1000021/00/1,Business Micro Loan,35000,20.0,2024-03-01,Business,Lusaka,6,2024-03-01,,35000
JUTEM-00093,1000021/00/1,Business Micro Loan,70000,12.0,2024-04-01,Business,Lusaka,6,2024-04-01,,70000
JUTEM-00094,1000021/00/1,Business Micro Loan,150000,30.0,2024-04-01,Business,Lusaka,6,2024-04-01,,150000
JUTEM-00095,1000021/00/1,Business Micro Loan,40000,30.0,2024-04-01,Business,Lusaka,6,2024-04-01,,40000
JUTEM-00096,1000021/00/1,Business Micro Loan,2500000,35.0,2024-05-01,Business,Lusaka,6,2024-05-01,,2500000
JUTEM-00097,1000021/00/1,Business Micro Loan,150000,20.0,2024-05-01,Business,Lusaka,6,2024-05-01,,150000
JUTEM-00098,1000021/00/1,Business Micro Loan,130000,10.0,2024-05-01,Business,Lusaka,6,2024-05-01,,130000
JUTEM-00099,1000021/00/1,Business Micro Loan,3500000,25.0,2024-07-01,Business,Lusaka,6,2024-07-01,,3500000
JUTEM-00100,1000021/00/1,Business Micro Loan,3000000,25.0,2024-08-01,Business,Lusaka,6,2024-08-01,,3000000
JUTEM-00101,1000021/00/1,Business Micro Loan,700000,20.0,2024-08-01,Business,Lusaka,6,2024-08-01,,700000
JUTEM-00102,1000021/00/1,Business Micro Loan,165000,20.0,2024-08-01,Business,Lusaka,6,2024-08-01,,165000
JUTEM-00103,1000021/00/1,Business Micro Loan,75000,20.0,2024-08-01,Business,Lusaka,6,2024-08-01,,75000
JUTEM-00104,1000021/00/1,Business Micro Loan,3200000,28.0,2024-09-01,Business,Lusaka,6,2024-09-01,,3200000
JUTEM-00105,1000021/00/1,Business Micro Loan,130000,15.0,2024-09-01,Business,Lusaka,6,2024-09-01,,130000
JUTEM-00106,1000021/00/1,Business Micro Loan,2000000,60.0,2024-10-01,Business,Lusaka,6,2024-10-01,,1000000
JUTEM-00107,1000021/00/1,Business Micro Loan,1000000,60.0,2024-12-01,Business,Lusaka,6,2024-12-01,,1000000
JUTEM-00108,1000021/00/1,Business Micro Loan,640000,25.0,2024-12-01,Business,Lusaka,6,2024-12-01,,640000
JUTEM-00109,1000021/00/1,Business Micro Loan,70000,25.0,2024-12-01,Business,Lusaka,6,2024-12-01,,70000
JUTEM-00110,1000021/00/1,Business Micro Loan,1000000,20.0,2025-02-01,Business,Lusaka,6,2025-02-01,,1000000
JUTEM-00111,1000021/00/1,Business Micro Loan,6000000,18.0,2025-06-01,Business,Lusaka,6,2025-06-01,,6000000
JUTEM-00112,1000021/00/1,Business Micro Loan,7080000,5.0,2025-07-01,Business,Lusaka,5,2025-07-01,,7080000
JUTEM-00113,1000022/00/1,Business Micro Loan,3000,25.0,2021-12-01,Business,Lusaka,6,2021-12-01,,3000
JUTEM-00114,1000022/00/1,Business Micro Loan,10000,25.0,2022-01-01,Business,Lusaka,6,2022-01-01,,10000
JUTEM-00115,1000022/00/1,Business Micro Loan,12000,25.0,2022-02-01,Business,Lusaka,6,2022-02-01,,12000
JUTEM-00116,1000022/00/1,Business Micro Loan,12000,25.0,2022-03-01,Business,Lusaka,6,2022-03-01,,12000
JUTEM-00117,1000023/00/1,Business Micro Loan,110000,20.0,2025-08-01,Business,Lusaka,6,2025-08-01,,110000
JUTEM-00118,1000023/00/1,Business Micro Loan,450000,20.0,2025-09-01,Business,Lusaka,6,2025-09-01,,450000
JUTEM-00119,1000023/00/1,Business Micro Loan,540000,4.0,2025-10-01,Business,Lusaka,6,2025-10-01,,540000
JUTEM-00120,1000023/00/1,Business Micro Loan,100000,17.0,2025-11-01,Business,Lusaka,6,2025-11-01,,100000
JUTEM-00121,1000023/00/1,Business Micro Loan,300000,16.6,2026-02-01,Business,Lusaka,6,2026-02-01,,300000
JUTEM-00122,1000024/00/1,Business Micro Loan,153846.15,30.0,2025-04-01,Business,Lusaka,6,2025-04-01,,153846.15
JUTEM-00123,1000024/00/1,Business Micro Loan,246153.85,30.0,2025-05-01,Business,Lusaka,6,2025-05-01,,246153.85
JUTEM-00124,1000024/00/1,Business Micro Loan,420000,10.0,2025-06-01,Business,Lusaka,6,2025-06-01,,420000
JUTEM-00125,1000024/00/1,Business Micro Loan,462000,30.0,2025-07-01,Business,Lusaka,6,2025-07-01,,154000
JUTEM-00126,1000024/00/1,Business Micro Loan,100200,15.0,2025-11-01,Business,Lusaka,6,2025-11-01,,100200
JUTEM-00127,1000025/00/1,Business Micro Loan,3000,13.0,2023-11-01,Business,Lusaka,6,2023-11-01,,3000
JUTEM-00128,1000026/00/1,Business Micro Loan,8000,25.0,2022-01-01,Business,Lusaka,6,2022-01-01,,8000
JUTEM-00129,1000026/00/1,Business Micro Loan,5000,25.0,2022-10-01,Business,Lusaka,6,2022-10-01,,5000
JUTEM-00130,1000027/00/1,Business Micro Loan,40000,35.0,2023-05-01,Business,Lusaka,6,2023-05-01,,20000
JUTEM-00131,1000027/00/1,Business Micro Loan,4000,20.0,2023-07-01,Business,Lusaka,6,2023-07-01,,2000
JUTEM-00132,1000027/00/1,Business Micro Loan,12000,35.0,2023-09-01,Business,Lusaka,6,2023-09-01,,6000
JUTEM-00133,1000027/00/1,Business Micro Loan,6000,35.0,2024-03-01,Business,Lusaka,6,2024-03-01,,6000
JUTEM-00134,1000028/00/1,Business Micro Loan,20000,30.0,2025-06-01,Business,Lusaka,6,2025-06-01,,20000
JUTEM-00135,1000028/00/1,Business Micro Loan,15000,30.0,2025-09-01,Business,Lusaka,6,2025-09-01,,7500
JUTEM-00136,1000028/00/1,Business Micro Loan,4750,18.0,2025-11-01,Business,Lusaka,6,2025-11-01,,4750
JUTEM-00137,1000028/00/1,Business Micro Loan,25000,28.0,2026-01-01,Business,Lusaka,5,2026-01-01,,5000
JUTEM-00138,1000029/00/1,Business Micro Loan,20000,35.0,2022-05-01,Business,Lusaka,6,2022-05-01,,10000
JUTEM-00139,1000029/00/1,Business Micro Loan,15000,32.0,2024-11-01,Business,Lusaka,6,2024-11-01,,7500
JUTEM-00140,1000029/00/1,Business Micro Loan,4900,18.0,2025-01-01,Business,Lusaka,6,2025-01-01,,4900
JUTEM-00141,1000029/00/1,Business Micro Loan,10000,35.0,2025-03-01,Business,Lusaka,6,2025-03-01,,5000
JUTEM-00142,1000029/00/1,Business Micro Loan,6750,18.0,2025-05-01,Business,Lusaka,6,2025-05-01,,6750
JUTEM-00143,1000030/00/1,Business Micro Loan,6000,20.0,2023-10-01,Business,Lusaka,6,2023-10-01,,6000
JUTEM-00144,1000030/00/1,Business Micro Loan,4000,21.0,2024-05-01,Business,Lusaka,6,2024-05-01,,2000
JUTEM-00145,1000030/00/1,Business Micro Loan,5000,16.0,2025-04-01,Business,Lusaka,6,2025-04-01,,5000
JUTEM-00146,1000031/00/1,Business Micro Loan,10000,15.0,2025-10-01,Business,Lusaka,6,2025-10-01,,5000
JUTEM-00147,1000032/00/1,Business Micro Loan,2000,25.0,2023-09-01,Business,Lusaka,6,2023-09-01,,1000
JUTEM-00148,1000033/00/1,Business Micro Loan,25000,17.0,2021-10-01,Business,Lusaka,6,2021-10-01,,25000
JUTEM-00149,1000033/00/1,Business Micro Loan,7000,20.0,2022-02-01,Business,Lusaka,6,2022-02-01,,7000
JUTEM-00150,1000033/00/1,Business Micro Loan,2000,25,2022-09-01,Business,Lusaka,6,2022-09-01,,2000
JUTEM-00151,1000033/00/1,Business Micro Loan,10000,17.0,2023-07-01,Business,Lusaka,6,2023-07-01,,10000
JUTEM-00152,1000033/00/1,Business Micro Loan,150000,18.0,2024-09-01,Business,Lusaka,6,2024-09-01,,50000
JUTEM-00153,1000033/00/1,Business Micro Loan,20000,17.0,2025-03-01,Business,Lusaka,6,2025-03-01,,20000
JUTEM-00154,1000033/00/1,Business Micro Loan,150000,14.5,2025-03-01,Business,Lusaka,6,2025-03-01,,150000
JUTEM-00155,1000034/00/1,Business Micro Loan,500,25.0,2021-07-01,Business,Lusaka,6,2021-07-01,,500
JUTEM-00156,1000034/00/1,Business Micro Loan,400,25.0,2021-08-01,Business,Lusaka,6,2021-08-01,,400
JUTEM-00157,1000034/00/1,Business Micro Loan,1000,25.0,2021-10-01,Business,Lusaka,6,2021-10-01,,1000
JUTEM-00158,1000034/00/1,Business Micro Loan,500,25.0,2021-10-01,Business,Lusaka,6,2021-10-01,,500
JUTEM-00159,1000034/00/1,Business Micro Loan,1300,15.0,2021-12-01,Business,Lusaka,6,2021-12-01,,1300
JUTEM-00160,1000034/00/1,Business Micro Loan,1000,25,2021-12-01,Business,Lusaka,6,2021-12-01,,1000
JUTEM-00161,1000034/00/1,Business Micro Loan,2000,25.0,2022-02-01,Business,Lusaka,6,2022-02-01,,2000
JUTEM-00162,1000034/00/1,Business Micro Loan,2500,20.0,2022-04-01,Business,Lusaka,6,2022-04-01,,2500
JUTEM-00163,1000034/00/1,Business Micro Loan,2000,25.0,2022-05-01,Business,Lusaka,6,2022-05-01,,2000
JUTEM-00164,1000034/00/1,Business Micro Loan,3000,25.0,2022-05-01,Business,Lusaka,6,2022-05-01,,3000
JUTEM-00165,1000034/00/1,Business Micro Loan,3750,20.0,2022-06-01,Business,Lusaka,6,2022-06-01,,3750
JUTEM-00166,1000035/00/1,Business Micro Loan,4999.98,20.0,2023-10-01,Business,Lusaka,6,2023-10-01,,833.33
JUTEM-00167,1000035/00/1,Business Micro Loan,4999.98,20.0,2024-04-01,Business,Lusaka,6,2024-04-01,,833.33
JUTEM-00168,1000036/00/1,Business Micro Loan,5000,25.0,2025-06-01,Business,Lusaka,6,2025-06-01,,5000
JUTEM-00169,1000037/00/1,Business Micro Loan,5000,19.0,2025-08-01,Business,Lusaka,6,2025-08-01,,5000
JUTEM-00170,1000037/00/1,Business Micro Loan,3125,17.0,2025-12-01,Business,Lusaka,6,2025-12-01,,3125
JUTEM-00171,1000037/00/1,Business Micro Loan,2156,10.0,2026-01-01,Business,Lusaka,5,2026-01-01,,2156
JUTEM-00172,1000038/00/1,Business Micro Loan,600,25.0,2021-08-01,Business,Lusaka,6,2021-08-01,,600
JUTEM-00173,1000039/00/1,Business Micro Loan,3000,25.0,2022-02-01,Business,Lusaka,6,2022-02-01,,3000
JUTEM-00174,1000039/00/1,Business Micro Loan,1000,25.0,2022-04-01,Business,Lusaka,6,2022-04-01,,1000
JUTEM-00175,1000039/00/1,Business Micro Loan,27000,25.0,2022-04-01,Business,Lusaka,6,2022-04-01,,3000
JUTEM-00176,1000039/00/1,Business Micro Loan,6000,20.0,2022-05-01,Business,Lusaka,6,2022-05-01,,2000
JUTEM-00177,1000039/00/1,Business Micro Loan,2000,25.0,2022-07-01,Business,Lusaka,6,2022-07-01,,2000
JUTEM-00178,1000039/00/1,Business Micro Loan,2500,25.0,2022-08-01,Business,Lusaka,6,2022-08-01,,2500
JUTEM-00179,1000039/00/1,Business Micro Loan,5000,25.0,2022-09-01,Business,Lusaka,6,2022-09-01,,2500
JUTEM-00180,1000039/00/1,Business Micro Loan,7000,25.0,2023-01-01,Business,Lusaka,6,2023-01-01,,7000
JUTEM-00181,1000039/00/1,Business Micro Loan,2500,20.0,2023-06-01,Business,Lusaka,6,2023-06-01,,2500
JUTEM-00182,1000039/00/1,Business Micro Loan,2700,20.0,2023-08-01,Business,Lusaka,6,2023-08-01,,2700
JUTEM-00183,1000039/00/1,Business Micro Loan,5000.01,45.0,2023-12-01,Business,Lusaka,6,2023-12-01,,1666.67
JUTEM-00184,1000040/00/1,Business Micro Loan,4000,17.0,2023-11-01,Business,Lusaka,6,2023-11-01,,2000
JUTEM-00185,1000040/00/1,Business Micro Loan,5000,17.0,2023-12-01,Business,Lusaka,6,2023-12-01,,2500
JUTEM-00186,1000040/00/1,Business Micro Loan,2500,10.0,2024-02-01,Business,Lusaka,6,2024-02-01,,2500
JUTEM-00187,1000040/00/1,Business Micro Loan,21000,18.0,2024-02-01,Business,Lusaka,6,2024-02-01,,3000
JUTEM-00188,1000040/00/1,Business Micro Loan,5000,20.0,2024-10-01,Business,Lusaka,6,2024-10-01,,2500
JUTEM-00189,1000040/00/1,Business Micro Loan,4000,20.0,2025-02-01,Business,Lusaka,6,2025-02-01,,4000
JUTEM-00190,1000040/00/1,Business Micro Loan,5000,15.0,2025-03-01,Business,Lusaka,6,2025-03-01,,5000
JUTEM-00191,1000041/00/1,Business Micro Loan,10000,20.0,2025-06-01,Business,Lusaka,5,2025-06-01,,5000
JUTEM-00192,1000041/00/1,Business Micro Loan,15000,33.0,2025-07-01,Business,Lusaka,6,2025-07-01,,15000
JUTEM-00193,1000041/00/1,Business Micro Loan,9000,30.0,2025-10-01,Business,Lusaka,6,2025-10-01,,4500
JUTEM-00194,1000041/00/1,Business Micro Loan,2500,10.0,2025-12-01,Business,Lusaka,6,2025-12-01,,2500
JUTEM-00195,1000041/00/1,Business Micro Loan,5500,18.0,2026-01-01,Business,Lusaka,6,2026-01-01,,5500
JUTEM-00196,1000041/00/1,Business Micro Loan,5000,30.0,2026-02-01,Business,Lusaka,6,2026-02-01,,5000
JUTEM-00197,1000041/00/1,Business Micro Loan,2500,18.0,2026-03-01,Business,Lusaka,5,2026-03-01,,2500
JUTEM-00198,1000042/00/1,Business Micro Loan,5000,25.0,2021-11-01,Business,Lusaka,6,2021-11-01,,5000
JUTEM-00199,1000043/00/1,Business Micro Loan,10000,25.0,2022-04-01,Business,Lusaka,6,2022-04-01,,10000
JUTEM-00200,1000043/00/1,Business Micro Loan,2000,25.0,2022-10-01,Business,Lusaka,6,2022-10-01,,2000
JUTEM-00201,1000043/00/1,Business Micro Loan,2000,25.0,2022-11-01,Business,Lusaka,6,2022-11-01,,2000
JUTEM-00202,1000043/00/1,Business Micro Loan,7000,25.0,2023-01-01,Business,Lusaka,6,2023-01-01,,7000
JUTEM-00203,1000043/00/1,Business Micro Loan,7000,25.0,2023-02-01,Business,Lusaka,6,2023-02-01,,7000
JUTEM-00204,1000043/00/1,Business Micro Loan,10000,25.0,2023-04-01,Business,Lusaka,6,2023-04-01,,10000
JUTEM-00205,1000044/00/1,Business Micro Loan,10000,20.0,2023-11-01,Business,Lusaka,6,2023-11-01,,5000
JUTEM-00206,1000044/00/1,Business Micro Loan,5500,20.0,2023-12-01,Business,Lusaka,6,2023-12-01,,5500
JUTEM-00207,1000044/00/1,Business Micro Loan,2000,10.0,2024-03-01,Business,Lusaka,6,2024-03-01,,2000
JUTEM-00208,1000044/00/1,Business Micro Loan,2700,19.0,2024-06-01,Business,Lusaka,6,2024-06-01,,2700
JUTEM-00209,1000044/00/1,Business Micro Loan,4000,19.0,2024-08-01,Business,Lusaka,6,2024-08-01,,4000
JUTEM-00210,1000044/00/1,Business Micro Loan,10000,32.0,2025-01-01,Business,Lusaka,6,2025-01-01,,5000
JUTEM-00211,1000045/00/1,Business Micro Loan,20000,32.0,2024-10-01,Business,Lusaka,6,2024-10-01,,5000
JUTEM-00212,1000045/00/1,Business Micro Loan,6500,20.0,2025-03-01,Business,Lusaka,6,2025-03-01,,6500
JUTEM-00213,1000045/00/1,Business Micro Loan,5500,28.0,2025-04-01,Business,Lusaka,6,2025-04-01,,2750
JUTEM-00214,1000045/00/1,Business Micro Loan,7000,19.0,2025-06-01,Business,Lusaka,6,2025-06-01,,7000
JUTEM-00215,1000045/00/1,Business Micro Loan,6500,19.0,2025-07-01,Business,Lusaka,6,2025-07-01,,6500
JUTEM-00216,1000045/00/1,Business Micro Loan,6500,30.0,2025-08-01,Business,Lusaka,6,2025-08-01,,3250
JUTEM-00217,1000045/00/1,Business Micro Loan,2000,18.0,2025-10-01,Business,Lusaka,6,2025-10-01,,2000
JUTEM-00218,1000045/00/1,Business Micro Loan,7500,28.0,2026-01-01,Business,Lusaka,6,2026-01-01,,7500
JUTEM-00219,1000045/00/1,Business Micro Loan,7500,28.0,2026-02-01,Business,Lusaka,6,2026-02-01,,7500
JUTEM-00220,1000046/00/1,Business Micro Loan,220920,31.0,2024-08-01,Business,Lusaka,6,2024-08-01,,220920
JUTEM-00221,1000047/00/1,Business Micro Loan,30000,10.0,2024-08-01,Business,Lusaka,6,2024-08-01,,30000
JUTEM-00222,1000047/00/1,Business Micro Loan,20000,15.0,2024-09-01,Business,Lusaka,6,2024-09-01,,20000
JUTEM-00223,1000048/00/1,Business Micro Loan,6000,18.0,2023-09-01,Business,Lusaka,6,2023-09-01,,6000
JUTEM-00224,1000048/00/1,Business Micro Loan,3000,18.0,2023-10-01,Business,Lusaka,6,2023-10-01,,3000
