loan_reference,borrower_nrc,loan_product_name,amount,custom_interest_rate,application_date,loan_purpose,branch_name,loan_status,approval_date,amount_type,monthly_amount
JUTEM-02298,1000650/00/1,Business Micro Loan,178000,18.0,2024-05-01,Business,Lusaka,6,2024-05-01,,178000
JUTEM-02299,1000651/00/1,Business Micro Loan,37000,18.0,2024-06-01,Business,Lusaka,6,2024-06-01,,37000
JUTEM-02300,1000651/00/1,Business Micro Loan,100000,18.0,2024-07-01,Business,Lusaka,6,2024-07-01,,100000
JUTEM-02301,1000651/00/1,Business Micro Loan,20000,8.0,2024-07-01,Business,Lusaka,6,2024-07-01,,20000
JUTEM-02302,1000650/00/1,Business Micro Loan,4000,10.0,2024-08-01,Business,Lusaka,6,2024-08-01,,4000
JUTEM-02303,1000651/00/1,Business Micro Loan,16000,15.0,2024-08-01,Business,Lusaka,6,2024-08-01,,16000
JUTEM-02304,1000651/00/1,Business Micro Loan,150000,18.0,2024-09-01,Business,Lusaka,6,2024-09-01,,150000
JUTEM-02305,1000651/00/1,Business Micro Loan,120000,15.0,2024-09-01,Business,Lusaka,6,2024-09-01,,60000
JUTEM-02306,1000651/00/1,Business Micro Loan,57000,12.0,2024-09-01,Business,Lusaka,6,2024-09-01,,57000
JUTEM-02307,1000651/00/1,Business Micro Loan,70000,14.0,2024-09-01,Business,Lusaka,6,2024-09-01,,70000
JUTEM-02308,1000652/00/1,Business Micro Loan,100000,18.0,2024-10-01,Business,Lusaka,6,2024-10-01,,100000
JUTEM-02309,1000651/00/1,Business Micro Loan,121000,18.0,2024-11-01,Business,Lusaka,6,2024-11-01,,121000
JUTEM-02310,1000651/00/1,Business Micro Loan,328000,28.96,2024-12-01,Business,Lusaka,6,2024-12-01,,328000
JUTEM-02311,1000651/00/1,Business Micro Loan,100000,30.0,2024-12-01,Business,Lusaka,5,2024-12-01,,100000
JUTEM-02312,1000651/00/1,Business Micro Loan,60000,14.0,2024-12-01,Business,Lusaka,6,2024-12-01,,60000
JUTEM-02313,1000651/00/1,Business Micro Loan,100000,18.0,2025-01-01,Business,Lusaka,6,2025-01-01,,50000
JUTEM-02314,1000651/00/1,Business Micro Loan,20000,3.0,2025-01-01,Business,Lusaka,6,2025-01-01,,10000
JUTEM-02315,1000651/00/1,Business Micro Loan,150000,30.0,2025-02-01,Business,Lusaka,6,2025-02-01,,150000
JUTEM-02316,1000651/00/1,Business Micro Loan,130000,16.0,2025-02-01,Business,Lusaka,6,2025-02-01,,130000
JUTEM-02317,1000651/00/1,Business Micro Loan,4800,17.0,2025-02-01,Business,Lusaka,6,2025-02-01,,4800
JUTEM-02318,1000651/00/1,Business Micro Loan,35000,14.0,2025-02-01,Business,Lusaka,6,2025-02-01,,35000
JUTEM-02319,1000651/00/1,Business Micro Loan,70000,11.43,2025-02-01,Business,Lusaka,6,2025-02-01,,70000
JUTEM-02320,1000651/00/1,Business Micro Loan,60000,7.5,2025-02-01,Business,Lusaka,6,2025-02-01,,30000
JUTEM-02321,1000651/00/1,Business Micro Loan,5000,7.0,2025-02-01,Business,Lusaka,6,2025-02-01,,5000
JUTEM-02322,1000651/00/1,Business Micro Loan,400000,15.0,2025-03-01,Business,Lusaka,6,2025-03-01,,400000
JUTEM-02323,1000651/00/1,Business Micro Loan,20000,12.0,2025-03-01,Business,Lusaka,6,2025-03-01,,20000
JUTEM-02324,1000651/00/1,Business Micro Loan,10000,4.0,2025-03-01,Business,Lusaka,6,2025-03-01,,10000
JUTEM-02325,1000651/00/1,Business Micro Loan,535267,16.0,2025-04-01,Business,Lusaka,6,2025-04-01,,535267
JUTEM-02326,1000651/00/1,Business Micro Loan,320000,16.0,2025-05-01,Business,Lusaka,6,2025-05-01,,320000
JUTEM-02327,1000651/00/1,Business Micro Loan,349416,16.0,2025-05-01,Business,Lusaka,6,2025-05-01,,349416
